"","Area"
"1","Afghanistan"
"2","Madagascar"
"3","Mozambique"
"6","Iraq"
"7","Venezuela (Bolivarian Republic of)"
"9","Mexico"
"11","Viet Nam"
"23","Angola"
"25","Myanmar"
"36","Thailand"
"42","Chad"
"47","Sudan"
"54","Haiti"
"66","Côte d'Ivoire"
"76","Egypt"
"80","Rwanda"
"87","Pakistan"
"88","Colombia"
"89","Iran (Islamic Republic of)"
"94","Burkina Faso"
"100","Malawi"
"103","South Africa"
"111","Ethiopia"
"115","Nigeria"
"118","Indonesia"
"123","Bangladesh"
"135","India"
"138","Guatemala"
"155","Cambodia"
"160","Ecuador"
"161","Peru"
"163","Sierra Leone"
"166","Ghana"
"171","Bolivia (Plurinational State of)"
"178","Uzbekistan"
